Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
HBU02C20181801039,HBU02C20181801039,,2,2,4,3,2,5,1,1,1,0,0,0.229753,0,0.071172,0,0,1,1
"慎之如始",慎之如始,,2,1,3,2,2,4,1,1,1,1,0.525731,0,0,0.056812,0,0,0,0.618748
cpu-jiangcheng,cpu-jiangcheng,,0,5,5,0,5,5,2,0.857143,0.916667,0,0,0.973249,1,0.022291,0,5,0,0
DRARRY115,DRARRY115,,1,0,1,1,0,1,0,0,0,0,0.425325,0,1,0.026315,0,4,0,0.006126
kada15381043312778989,kada15381043312778989,,1,0,1,1,0,1,0,0,0,0,0.425325,0,1,0.026315,0,3,0,0.006126
cpu180310128张月馨,cpu180310128张月馨,,1,0,1,1,0,1,0,0,0,0,0.425325,0,1,0.026315,0,2,0,0.006126
"药学1801郝微",药学1801郝微,,0,1,1,0,2,2,1,1,1,0,0,0,2,0.022291,1,7,0,0
"谢燕丽2018157091",谢燕丽2018157091,,1,0,1,2,0,2,0,0,0,0,0,0,2,0.042413,1,6,0,0.006126
CMU2018353729戴梦蝶,CMU2018353729戴梦蝶,,0,1,1,0,2,2,1,1,1,0,0,0,3,0.022291,2,9,0,0
fjwzy19113010267卢艺娴,fjwzy19113010267卢艺娴,,1,0,1,2,0,2,0,0,0,0,0,0,3,0.042413,2,8,0,0.006126
kyk1202,kyk1202,,0,2,2,0,2,2,1,1,1,0,0,0,6,0.022291,3,12,0,0
"三磷酸腺苷mooc2",三磷酸腺苷mooc2,,1,0,1,1,0,1,0,0,0,0,0,0,6,0.032352,3,11,0,0.006126
"团子治愈星TOMMYLICIOUS",团子治愈星TOMMYLICIOUS,,1,1,2,1,1,2,0,0,0,0,0,0,4,0.022291,4,13,0,0.091764
"安东尼奥k123226330950589578",安东尼奥k123226330950589578,,1,1,2,1,2,3,1,1,1,1,0,0,5,0.042413,5,15,0,0.006126
20201240507 孙奥新,20201240507 孙奥新,,1,0,1,2,0,2,0,0,0,0,0,0,5,0.060939,5,14,0,0.02379
mooc61267561110510619,mooc61267561110510619,,0,1,1,0,2,2,1,1,1,0,0,0,6,0.022291,3,16,0,0
"魏CICI",魏CICI,,2,0,2,3,0,3,0,0,0,0,0,0,6,0.052474,3,10,0,0.012252
1803102崔子悦,1803102崔子悦,,1,0,1,1,0,1,0,0,0,0,0.425325,0,1,0.026315,0,1,0,0.006126
xiepuhui,xiepuhui,,2,2,4,2,2,4,1,1,1,1,0,0,7,0.042413,6,18,0.333333,0.183527
"志存高远mooc34",志存高远mooc34,,1,0,1,1,0,1,0,0,0,0,0,0,7,0.041615,6,17,0,0.177401
"笙箫一曲唱元璞mooc",笙箫一曲唱元璞mooc,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,5,0.022291,5,19,0,0
"左手右手方决毅",左手右手方决毅,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,7,0.022291,6,20,0,0
