Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
?mooc50416250471745765,?mooc50416250471745765,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.022292,0,1,0,0
2017110901023-吴佳玲,2017110901023-吴佳玲,,2,0,2,2,0,2,0,0,0,0,0,0,0,0.051208,0,0,0,0.018096
mooc50416250471745765,mooc50416250471745765,,0,2,2,0,5,5,1,1,1,0,0,0,0,0.022292,0,3,0,0
我叫努力mooc,我叫努力mooc,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.022292,1,5,0,0
逆光mooc187,逆光mooc187,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.041569,1,4,0,0.009048
鞠晴江,鞠晴江,,0,11,11,0,14,14,3,0.653846,0.794118,0,0,0.950208,2,0.022292,2,23,0,0
1海上钢琴师1,1海上钢琴师1,,1,0,1,2,0,2,0,0,0,0,0.280683,0,2,0.024044,2,22,0,0.009048
黄澄d,黄澄d,,1,4,5,1,8,9,1,1,1,7,0,0.192958,3,0.043114,2,19,0,0.038776
HenryLeemooc,HenryLeemooc,,3,0,3,8,0,8,0,0,0,0,0.409959,0,3,0.036638,2,18,0,0.104251
treemooc101,treemooc101,,3,1,4,7,4,11,0,0,0,0,0.129276,0,3,0.034885,2,17,0.333333,1
ttccya,ttccya,,1,0,1,1,0,1,0,0,0,0,0.056998,0,3,0.031672,2,16,0,0.086155
日语16刘鑫瑜,日语16刘鑫瑜,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,21,0,0.009048
mooc153612376088,mooc153612376088,,1,1,2,1,1,2,2,0.555556,0.6,4,0.280683,0,2,0.024044,2,20,0,0.009048
应杭平,应杭平,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,14,0,0.009048
张洁20185162033,张洁20185162033,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,13,0,0.009048
HJ17资评闪新宇33,HJ17资评闪新宇33,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,12,0,0.009048
yanansui1989,yanansui1989,,1,0,1,1,0,1,0,0,0,0,0.056998,0,3,0.031672,2,15,0,0.086155
成电的大白,成电的大白,,1,0,1,4,0,4,0,0,0,0,0,0,0,0.031931,0,2,0,0.009048
谢宗俊x,谢宗俊x,,0,6,6,0,6,6,1,1,1,0,0,0.244686,4,0.022292,2,28,0,0
Florencecc,Florencecc,,1,0,1,1,0,1,0,0,0,0,0.072278,0,4,0.025505,2,27,0,0.009048
南槿mooc2,南槿mooc2,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,11,0,0.009048
mooc1534857655210,mooc1534857655210,,1,2,3,1,2,3,1,1,1,2,0.280683,0,5,0.024044,2,10,0,0.009048
文娣Liy,文娣Liy,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,7,0,0.009048
cbcw90163com,cbcw90163com,,1,0,1,1,0,1,0,0,0,0,0.072278,0,4,0.025505,2,26,0,0.009048
石磊爱学习,石磊爱学习,,1,0,1,1,0,1,0,0,0,0,0.072278,0,4,0.025505,2,25,0,0.009048
小葡萄0712,小葡萄0712,,1,0,1,1,0,1,0,0,0,0,0.280683,0,2,0.024044,2,6,0,0.009048
小路清溪,小路清溪,,1,0,1,1,0,1,0,0,0,0,0.072278,0,4,0.025505,2,24,0,0.009048
大萌萌萌的,大萌萌萌的,,1,0,1,1,0,1,0,0,0,0,0,0,5,0.032703,2,9,0,0.038776
Captainwq,Captainwq,,0,1,1,0,2,2,1,1,1,0,0,0,5,0.022292,2,29,0,0
ykt1533809321453,ykt1533809321453,,3,0,3,5,0,5,0,0,0,0,0,0,5,0.071258,2,8,0,0.056872
冰糖mooc44,冰糖mooc44,,0,1,1,0,2,2,1,1,1,0,0,0,5,0.022292,2,30,0,0
