Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
"鞠晴江",鞠晴江,,0,2,2,0,4,4,4,0.461538,0.597222,0,0,0,6,0,5,0,0
thornmooc92,thornmooc92,,1,0,1,2,0,2,0,0,0,0,0,0,6,0,4,0,0.009485
"蓝梦一",蓝梦一,,0,1,1,0,1,1,1,1,1,0,0,0,0,1,7,0,0
mooc58067500323428498,mooc58067500323428498,,1,0,1,1,0,1,0,0,0,0,0,0,0,1,6,0,0.009485
"幸运1cad4a",幸运1cad4a,,0,1,1,0,1,1,1,1,1,0,0,0,1,2,9,0,0
"灿棋的根号三",灿棋的根号三,,1,0,1,1,0,1,0,0,0,0,0,0,1,2,8,0,0.009485
"蛮电",蛮电,,0,1,1,0,1,1,1,1,1,0,0,0,2,3,11,0,0
"尘埃",尘埃,,1,0,1,1,0,1,0,0,0,0,0,0,2,3,10,0,0.009485
"啊风格的法国的风格",啊风格的法国的风格,,0,1,1,0,1,1,1,1,1,0,0,0,3,4,13,0,0
"戾天之鸢",戾天之鸢,,1,0,1,1,0,1,0,0,0,0,0,0,3,4,12,0,0.009485
"浩浩白水",浩浩白水,,2,2,4,3,4,7,1,1,1,1,0,0,4,5,15,0.333333,0.504742
"皇桢燚",皇桢燚,,2,0,2,3,0,3,0,0,0,0,0,0,4,5,14,0,0.504742
enorahu,enorahu,,0,1,1,0,1,1,1,1,1,0,0,0,4,5,16,0,0
mooc1275689050261057,mooc1275689050261057,,1,2,3,1,4,5,2,0.666667,0.75,4,0,0.516398,5,0,19,0,0.009485
"诗薇mooc2",诗薇mooc2,,1,1,2,2,2,4,1,1,1,2,0.258199,0,5,0,18,0,0.042025
"历尽天华成此景",历尽天华成此景,,0,2,2,0,2,2,3,0.5,0.611111,0,0,0,5,0,21,0,0
"忘了时间的钟mooc32",忘了时间的钟mooc32,,1,0,1,1,0,1,0,0,0,0,0,0,5,0,20,0,0.009485
HNNU201808071324石喜洋,HNNU201808071324石喜洋,,1,2,3,2,3,5,3,0.571429,0.708333,4,0,0.387298,6,0,3,0.166667,0.009485
"胡萝卜布丁",胡萝卜布丁,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,4,5,22,0,0
"欢喜mooc476",欢喜mooc476,,3,1,4,5,1,6,1,1,1,6,0.774597,0,5,0,1,0,1
chauncy1,chauncy1,,2,2,4,3,3,6,2,0.75,0.833333,7,0.258199,0.645497,6,0,2,0.083333,0.05151
hebeu190430104颜运来,hebeu190430104颜运来,,0,1,1,0,2,2,3,0.5,0.583333,0,0,0.129099,6,0,23,0,0
ykt24792948280954729,ykt24792948280954729,,2,0,2,4,0,4,0,0,0,0,0.516398,0,6,0,0,0.5,0.170814
mooc5258299508684762,mooc5258299508684762,,1,1,2,1,2,3,1,1,1,0,0,0.387298,5,0,1,0,0.94849
"蓝玉or开",蓝玉or开,,2,1,3,4,2,6,0,0,0,0,0,0,5,0,17,0.5,0.957975
1643697211qqcom,1643697211qqcom,,1,1,2,2,2,4,0,0,0,0,0,0,7,6,24,0,0.252371
m17639566582163com,m17639566582163com,,0,1,1,0,1,1,1,1,1,0,0,0,8,7,26,0,0
"人生若只如初见ykt1458473298015",人生若只如初见ykt1458473298015,,1,0,1,1,0,1,0,0,0,0,0,0,8,7,25,0,0.009485
