Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
"杨湘波老师",杨湘波老师,,3,8,11,10,21,31,1,1,1,19,0,0.987087,0,0.167635,0,6,0.125,1
Evamooc634,Evamooc634,,1,0,1,1,0,1,0,0,0,0,0.368833,0,0,0.062077,0,5,0,0.612079
mooc65304449570302880,mooc65304449570302880,,1,0,1,1,0,1,0,0,0,0,0.368833,0,0,0.062077,0,4,0,0.612079
"师黄奕林",师黄奕林,,0,1,1,0,2,2,3,0.380952,0.4375,0,0,0.160182,0,0.044052,0,7,0,0
"头发旺盛",头发旺盛,,2,1,3,11,3,14,2,0.538462,0.571429,7,0.428687,0,0,0.100068,0,6,0,0.6182
mooc9148711289072475,mooc9148711289072475,,1,0,1,2,0,2,0,0,0,0,0.368833,0,0,0.062077,0,3,0,0.612079
USC20194670404,USC20194670404,,1,0,1,1,0,1,0,0,0,0,0.368833,0,0,0.062077,0,2,0,0.612079
"华师20193232056林凌志",华师20193232056林凌志,,1,0,1,1,0,1,0,0,0,0,0.368833,0,0,0.062077,0,1,0,0.612079
"邢琳-中工",邢琳-中工,,1,0,1,1,0,1,0,0,0,0,0.368833,0,0,0.062077,0,0,0,0.612079
"骑单车的阳光",骑单车的阳光,,0,1,1,0,2,2,1,1,1,0,0,0,1,0.044052,1,9,0,0
"杨湘波",杨湘波,,2,0,2,4,0,4,0,0,0,0,0,0,1,0.120034,1,8,0,0.012242
"为想学而学O_o",为想学而学O_o,,0,1,1,0,2,2,1,1,1,0,0,0,1,0.044052,1,10,0,0
mooc1532226958907,mooc1532226958907,,0,1,1,0,2,2,2,0.533333,0.5625,0,0,0,0,0.044052,0,11,0,0
