Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
"﻿sovietwang163com",﻿sovietwang163com,,0,1,1,0,1,1,1,1,1,0,0,0.301511,0,0.041818,0,1,0,0
"中国政法大学法学院雷磊",中国政法大学法学院雷磊,,11,0,11,23,0,23,0,0,0,0,1,0,0,0.462667,0,0,0,1
sovietwang163com,sovietwang163com,,0,1,1,0,3,3,1,1,1,0,0,0.301511,0,0.041818,0,2,0,0
17行一李蔚嘉,17行一李蔚嘉,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,3,0,0
mooc20180301060504,mooc20180301060504,,0,1,1,0,4,4,1,1,1,0,0,0.301511,0,0.041818,0,4,0,0
Kylemooc91,Kylemooc91,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,5,0,0
"稻草人ikhhgbbddghj",稻草人ikhhgbbddghj,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,6,0,0
"豫财大张馨月20183404133",豫财大张馨月20183404133,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,7,0,0
"滴水映阳mooc1",滴水映阳mooc1,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,8,0,0
Leonmooc880,Leonmooc880,,0,1,1,0,2,2,1,1,1,0,0,0.301511,0,0.041818,0,9,0,0
"十月人",十月人,,0,1,1,0,1,1,1,1,1,0,0,0.301511,0,0.041818,0,10,0,0
"远古神话",远古神话,,1,1,2,1,2,3,1,1,1,1,0,0.301511,0,0.07733,0,11,0,0.055947
"和风先生",和风先生,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,0,0.041818,0,12,0,0
