Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
"蒋良孝",蒋良孝,,3,14,17,4,21,25,2,0.9375,0.966667,44,0,0.994269,0,0.083741,0,14,0,0.253325
YixingChen,YixingChen,,1,0,1,2,0,2,0,0,0,0,0.264298,0,0,0.02677,0,13,0,0.252684
smileyuaner,smileyuaner,,1,1,2,2,2,4,3,0.5,0.522222,0,0.264298,0,0,0.02677,0,14,0,0.252684
"记忆格式化mooc21",记忆格式化mooc21,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,12,0,0.252684
"东北望射狮射猴射天狗1991",东北望射狮射猴射天狗1991,,1,0,1,2,0,2,0,0,0,0,0.264298,0,0,0.02677,0,11,0,0.252684
"数值071870166刘增强",数值071870166刘增强,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,10,0,0.252684
gao1,gao1,,2,2,4,3,2,5,1,1,1,4,0.264298,0,0,0.02677,0,9,0.333333,1
"李钧涛-河南师范大学",李钧涛-河南师范大学,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.033378,0,8,0,0.747316
mooc71699920552666252,mooc71699920552666252,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,7,0,0.252684
mooc65657679429397784,mooc65657679429397784,,1,1,2,2,2,4,0,0,0,0,0,0,1,0.021576,1,15,0,0.126502
18093786821163com,18093786821163com,,0,1,1,0,2,2,1,1,1,0,0,0.075598,2,0.021576,0,16,0,0
"明天的阳光mooc5",明天的阳光mooc5,,2,0,2,3,0,3,0,0,0,0,0.284393,0,2,0.04605,0,6,0,0.260182
ykt1467344505666,ykt1467344505666,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,5,0,0.252684
wwmooc297,wwmooc297,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,4,0,0.252684
"曾小粤",曾小粤,,1,0,1,2,0,2,0,0,0,0,0.264298,0,0,0.02677,0,3,0,0.252684
201630720,201630720,,1,0,1,1,0,1,0,0,0,0,0.264298,0,0,0.02677,0,2,0,0.252684
"星沉大海ykt1511589675243",星沉大海ykt1511589675243,,1,1,2,2,2,4,0,0,0,0,0,0,3,0.021576,2,17,0,0.126502
"学不完csharp不改名",学不完csharp不改名,,2,0,2,3,0,3,0,0,0,0,0.284393,0,0,0.04605,0,1,0,0.260182
17二学位_53_刘宜衡,17二学位_53_刘宜衡,,0,1,1,0,1,1,1,1,1,0,0,0.075598,0,0.021576,0,18,0,0
"皇阿玛mooc21",皇阿玛mooc21,,1,0,1,2,0,2,0,0,0,0,0.264298,0,0,0.02677,0,0,0,0.252684
99because,99because,,0,1,1,0,2,2,1,1,1,0,0,0,4,0.021576,3,20,0,0
"普瑯",普瑯,,2,0,2,4,0,4,0,0,0,0,0,0,4,0.076171,3,19,0,0.037224
linuxzfp,linuxzfp,,1,1,2,1,2,3,1,1,1,1,0,0,4,0.040857,3,21,0,0.007498
55170328胡彪,55170328胡彪,,0,1,1,0,1,1,3,0.5,0.520833,0,0,0,0,0.021576,0,22,0,0
wuwenbin0513,wuwenbin0513,,0,1,1,0,1,1,3,0.5,0.520833,0,0,0,0,0.021576,0,23,0,0
"落叶雨vs执念",落叶雨vs执念,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,4,0.021576,3,24,0,0
