Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
k200109163com,k200109163com,,0,2,2,0,3,3,1,1,1,0,0,0.321982,4,0.025442,0,2,0,0
wolin,wolin,,1,0,1,1,0,1,0,0,0,0,0.13551,0,4,0.036264,0,1,0,0.010817
cpu-jiangcheng,cpu-jiangcheng,,1,5,6,1,7,8,1,1,1,4,0,0.908916,0,0.055062,0,6,0,0.978365
"豫中医-18药本2018122087",豫中医-18药本2018122087,,1,1,2,2,1,3,2,0.555556,0.6,0,0.382528,0,0,0.034813,0,6,0,0.978365
"谁来拯救笨小孩312",谁来拯救笨小孩312,,1,0,1,1,0,1,0,0,0,0,0.382528,0,0,0.034813,0,5,0,0.978365
180120422-谭心怡,180120422-谭心怡,,1,1,2,2,2,4,0,0,0,0,0,0,1,0.025442,1,7,0,0.978365
mooc78473660193860882,mooc78473660193860882,,1,1,2,1,1,2,1,1,1,0,0,0,2,0.168736,2,8,0,0.978365
18药学张欣,18药学张欣,,1,1,2,1,1,2,1,1,1,0,0,0,2,0.168736,2,8,0,0.978365
Air Jordan 1c18ca3,Air Jordan 1c18ca3,,0,1,1,0,2,2,1,1,1,0,0,0,3,0.025442,3,10,0,0
"何绍源",何绍源,,1,0,1,2,0,2,0,0,0,0,0,0,3,0.047085,3,9,0,0.010817
"李大大mooc37",李大大mooc37,,1,0,1,1,0,1,0,0,0,0,0.382528,0,0,0.034813,0,4,0,0.978365
"背单词好烦",背单词好烦,,3,0,3,5,0,5,0,0,0,0,0.629545,0,4,0.067278,0,0,0,1
"林深圳k1281418977680326096",林深圳k1281418977680326096,,0,1,1,0,1,1,1,1,1,0,0,0.264951,4,0.025442,0,11,0,0
Hairhanmooc,Hairhanmooc,,0,1,1,0,1,1,1,1,1,0,0,0,5,0.025442,4,13,0,0
"椿k1278621919424394603",椿k1278621919424394603,,1,0,1,1,0,1,0,0,0,0,0,0,5,0.047085,4,12,0,0.010817
lzx2000,lzx2000,,1,0,1,1,0,1,0,0,0,0,0.382528,0,0,0.034813,0,3,0,0.978365
