Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
"﻿助教陈珂",﻿助教陈珂,,0,1,1,0,1,1,2,0.666667,0.75,0,0,0,1,0.019212,0,2,0,0
"沈航创新1-29秦德磊",沈航创新1-29秦德磊,,1,1,2,1,6,7,1,1,1,1,0,0.204124,1,0.035533,0,1,0,0.032066
"助教陈珂",助教陈珂,,0,3,3,0,4,4,2,0.8,0.875,0,0,0,0,0.019212,0,6,0,0
"毛桃周",毛桃周,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.024652,0,5,0,0.032066
Joseph利先生,Joseph利先生,,1,1,2,2,2,4,1,1,1,1,0,0.204124,0,0.024652,0,4,0,0.032066
Noah_123,Noah_123,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.024652,0,3,0,0.032066
moocdseawhalep,moocdseawhalep,,0,1,1,0,6,6,1,1,1,0,0,0.204124,1,0.019212,0,7,0,0
"马晓晴-",马晓晴-,,24,0,24,79,0,79,0,0,0,0,1,0,1,0.429413,0,0,0,1
"京江4171160023陈杨",京江4171160023陈杨,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,8,0,0
"浮名半生mooc102",浮名半生mooc102,,0,1,1,0,6,6,1,1,1,0,0,0.204124,1,0.019212,0,9,0,0
"什么意思哦1",什么意思哦1,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,10,0,0
snnu思政1901杨诗雨41917048,snnu思政1901杨诗雨41917048,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,11,0,0
laock,laock,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,12,0,0
Kristn不住,Kristn不住,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,13,0,0
"沉在雨里的鱼",沉在雨里的鱼,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,14,0,0
Margotta,Margotta,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,15,0,0
WyyyYeYa,WyyyYeYa,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,16,0,0
"鹏鹏mooc92",鹏鹏mooc92,,0,1,1,0,3,3,1,1,1,0,0,0.204124,1,0.019212,0,17,0,0
yufangxue,yufangxue,,0,1,1,0,4,4,1,1,1,0,0,0.204124,1,0.019212,0,18,0,0
nm尹磊,nm尹磊,,0,1,1,0,3,3,1,1,1,0,0,0.204124,1,0.019212,0,19,0,0
yesmei,yesmei,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,20,0,0
mooc41108853522511721,mooc41108853522511721,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,21,0,0
mooc1524035909276,mooc1524035909276,,0,1,1,0,3,3,1,1,1,0,0,0.204124,1,0.019212,0,22,0,0
Eureka-Ren,Eureka-Ren,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,23,0,0
"赵其琛",赵其琛,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,24,0,0
mooc77953721948629147,mooc77953721948629147,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,25,0,0
"王钰ykt1566489982853",王钰ykt1566489982853,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,26,0,0
"鲁禹志",鲁禹志,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,27,0,0
"采采荣木",采采荣木,,0,1,1,0,2,2,1,1,1,0,0,0.204124,1,0.019212,0,28,0,0
